annual_income,debt_to_income,credit_score,employment_years,loan_amount_requested,loan_purpose_consol,loan_purpose_home,zip_income_index,employer_size_score,education_score,label_approved
62214.0,0.362,737.0,6.7,31792.0,0,1,0.601,62.7,33.6,1
18000.0,0.206,654.0,10.2,7184.0,1,0,0.735,43.5,63.3,1
64630.0,0.299,535.0,7.6,30689.0,0,0,0.18,71.0,81.1,0
92172.0,0.355,789.0,9.2,9261.0,1,0,0.505,59.2,75.7,1
74358.0,0.312,599.0,4.0,17824.0,0,0,0.66,35.2,86.4,1
65096.0,0.398,714.0,4.5,6427.0,0,1,0.654,43.0,52.5,0
37548.0,0.207,575.0,0.9,12277.0,0,1,0.222,50.3,28.4,1
71447.0,0.175,746.0,1.3,24852.0,1,0,0.474,13.7,9.0,1
101082.0,0.179,795.0,6.3,23216.0,0,1,0.56,52.9,59.1,1
58956.0,0.345,760.0,6.7,14989.0,1,0,0.437,25.4,42.8,0
62102.0,0.366,656.0,10.6,2169.0,0,1,0.702,28.4,28.4,1
55411.0,0.237,648.0,0.0,33539.0,0,1,0.829,55.1,35.9,1
48895.0,0.348,697.0,5.2,20504.0,1,0,0.36,55.4,58.7,1
80045.0,0.202,809.0,10.0,21320.0,1,0,0.445,41.6,12.2,0
109883.0,0.31,626.0,6.6,42444.0,1,0,0.729,33.1,57.2,1
100661.0,0.325,697.0,9.9,35781.0,1,0,0.578,39.2,76.4,1
57379.0,0.289,741.0,6.6,36067.0,0,1,0.59,30.2,35.6,1
33572.0,0.263,658.0,7.5,36937.0,0,0,0.671,90.8,47.7,1
73907.0,0.259,751.0,10.0,35958.0,0,1,0.601,76.9,49.0,1
93843.0,0.225,719.0,12.0,31441.0,0,1,0.641,85.1,17.8,1
81620.0,0.229,709.0,0.0,7447.0,1,0,0.268,40.0,70.7,0
58545.0,0.204,604.0,6.1,35048.0,0,1,0.676,18.6,67.8,1
91510.0,0.306,631.0,14.9,29049.0,0,1,0.546,54.6,66.0,1
28309.0,0.288,587.0,15.6,9754.0,0,1,0.487,63.7,49.7,1
97308.0,0.427,698.0,7.1,25140.0,0,0,0.409,84.7,99.1,1
78554.0,0.342,685.0,4.6,23774.0,0,1,0.522,50.2,43.5,1
93067.0,0.16,700.0,2.9,9686.0,1,0,0.755,27.0,54.4,1
62229.0,0.307,683.0,0.0,1000.0,0,0,0.631,0.0,60.5,0
50338.0,0.418,698.0,5.0,1205.0,0,1,0.33,59.1,34.2,0
26240.0,0.336,713.0,6.8,29100.0,0,0,0.242,16.9,75.9,1
133702.0,0.258,740.0,6.3,22526.0,0,0,0.391,44.0,84.7,1
76057.0,0.213,582.0,7.1,19679.0,0,1,0.807,44.3,38.8,1
82857.0,0.359,540.0,10.9,13323.0,1,0,0.381,47.6,13.5,0
81950.0,0.33,698.0,9.0,16601.0,0,1,0.82,81.8,19.5,1
100247.0,0.201,636.0,11.9,15883.0,0,0,0.645,66.1,59.2,1
84727.0,0.314,728.0,2.6,5051.0,0,0,0.259,53.2,70.8,0
76773.0,0.347,690.0,8.3,1000.0,0,0,0.459,54.6,29.0,0
65620.0,0.158,768.0,15.2,35288.0,1,0,0.532,43.2,51.3,1
81521.0,0.106,672.0,10.9,30311.0,0,0,0.496,56.1,77.3,1
87653.0,0.363,728.0,6.7,60600.0,0,0,0.504,59.3,61.2,0
73607.0,0.386,560.0,2.2,32144.0,0,0,0.617,53.8,68.2,1
79888.0,0.291,743.0,8.9,6184.0,1,0,0.733,58.2,48.2,1
48389.0,0.429,757.0,9.8,25817.0,1,0,0.724,55.4,68.2,1
93608.0,0.148,614.0,8.6,28349.0,0,1,0.701,19.0,62.8,1
75473.0,0.223,638.0,10.8,44144.0,0,1,0.524,45.2,90.5,1
103911.0,0.31,558.0,11.5,14584.0,0,0,0.687,38.1,60.4,0
18000.0,0.388,820.0,12.0,27311.0,0,0,0.165,29.9,74.4,1
21568.0,0.373,691.0,0.2,18064.0,0,1,0.574,45.7,21.1,1
31699.0,0.28,713.0,10.8,4297.0,0,0,0.121,52.8,89.7,1
79410.0,0.279,681.0,4.5,22362.0,1,0,0.752,48.5,53.2,1
67241.0,0.278,731.0,0.5,29967.0,0,1,0.897,27.9,35.8,1
